Model,Mean WMAPE (%),Median WMAPE (%),25th Pct WMAPE (%),75th Pct WMAPE (%),Mean NRMSE (%),Median NRMSE (%),Mean MAE (kW),Mean RMSE (kW)
1. Seasonal Naive 24h (Baseline),12.62298688336369,9.45796622225544,7.31662515854668,13.8765516832189,20.950622405320235,14.092794224701672,56.57641991364456,89.58984369105264
2. Autoregressive Ridge (Per-Meter),11.029219352728896,8.23204296596078,6.677915660297811,11.80482896581643,16.308991321739914,12.03882834254912,55.03056451387978,81.29133060051248
3. Global LightGBM v1 (Static Normalization),10.116251797201777,7.89238100002601,6.2651662013844795,11.171374995274537,15.829870419120098,11.45449371997482,53.52205200126064,82.76299785642001
4. Upgraded Global LightGBM v2 (Dynamic Rolling Baseline),10.593723165666114,8.089156675310253,6.54338186749425,11.541983978661941,16.456118731202647,11.823875813688623,51.01829675485481,77.51034006238355
