,WMAPE (%),RMSE,MAE,NRMSE (%)
Seasonal Naive 24h (Day-Ahead),3.817221251701615,13931.130512201496,8571.557755199416,6.204030698987827
Seasonal Naive 7-Day (Week-Ahead),5.772169087545471,21211.457259315815,12961.386685306079,9.446220598666095
4-Week Seasonal Average (Robust Baseline),5.937349096946217,21176.29017692903,13332.297852677297,9.43055943904015
