meter,WMAPE,RMSE,MAE,NRMSE
MT_001,0.5518469982826613,3.950986059786241,2.334108316872463,0.9341210866645532
MT_002,0.06565930805163529,2.752844391775393,1.7518392820154112,0.10317719199095289
MT_003,0.8720236367480164,2.2747581737447247,1.5128020407903828,1.3112375855566478
MT_004,0.09577983153845633,15.552758376116051,11.591763717425929,0.12850853533042006
MT_005,0.12254897353364137,8.461306490209333,6.373670070884512,0.16268875131542404
MT_006,0.09347856663427452,23.405830738016064,17.425117672674237,0.12556262456151332
MT_007,0.29681525096535555,3.555766328823669,1.7405701375823526,0.6063563038774835
MT_008,0.07976373478798131,26.701818143023164,20.033283348129117,0.1063149112257682
MT_009,0.1581543125011725,10.703674458568077,8.038888297875538,0.21058039526168867
MT_010,0.2192194002923669,17.17949267643351,12.008617992830162,0.31361461278087366
MT_011,0.10327669394450183,5.433316325332966,4.088690284274794,0.13724075638431635
MT_012,0.13121796058051524,24.46119864015252,19.24046450485626,0.1668228227081291
MT_013,0.15803971177956846,19.33269985284727,12.983710707415016,0.23532057833974862
MT_014,0.10509921250270161,6.88084943833506,4.7981320267418965,0.15071945775734127
MT_015,0.5020794098212971,29.56274616156378,23.941291454424938,0.6199684830598992
MT_016,0.10929233159542089,5.187935056258251,3.596867118561038,0.15763760510867017
MT_017,0.07797119336495534,5.132995970871247,3.799698967455614,0.10533092879574647
MT_018,0.11772550891786718,38.117045839349764,28.906870399620463,0.1552346745894028
MT_019,0.13170108099519423,1.4212624768432063,1.0657602284708456,0.17563219153592005
MT_020,0.1374448761244963,7.695374068833949,6.052956832436544,0.17473934886741677
MT_021,0.09157207030697775,21.69773497016621,14.531639656378424,0.13672968496147028
MT_022,0.16563210494790492,7.079430886038414,4.771275659437663,0.24575839318115467
MT_023,0.1492338520434232,2.10109978035738,1.5848208187362602,0.19784899973761821
MT_024,0.12446249205646924,5.2864127167090205,3.950572830882591,0.16654802453385492
MT_025,0.1180482896581643,33.09715959575602,24.77687643213245,0.15768989660679486
MT_026,0.1304304076013989,3.726791579946345,2.6918747355028954,0.1805756183253648
MT_027,0.11738007014052322,3.4587229944426614,2.5544241232545786,0.1589341190401289
MT_028,0.09481921078558211,8.908163712233604,6.529014585527581,0.1293709857250224
MT_029,0.1403951152021357,16.799286578599045,11.26195835167548,0.20942519061662285
MT_030,0.10069568929122227,5.409550724855835,3.813818515108538,0.14282757211368963
MT_031,0.09446363466267481,10.849378867291861,8.160020794353871,0.1255967095507818
MT_032,0.21841304773243778,6.352554440865269,5.30406824608712,0.26158803242005385
MT_033,0.0917996672645583,5.131526795531055,3.8494461070888297,0.12237408689042999
MT_034,0.11173512603275369,2.36825353554496,1.6858934344723133,0.15695956924730303
MT_035,0.10632244418010812,18.369430099977635,12.868620892849327,0.15177094132212213
MT_036,0.2882612245988669,15.672977281447467,11.016368018757895,0.41010899568419323
MT_037,0.10516194216301891,16.637138264405344,11.529176537657191,0.1517535763464919
MT_038,0.07921035237218609,12.596323458225644,9.323390116307031,0.10701678330234846
MT_040,0.31384140928456106,17.191827864094904,11.921734419129958,0.4525773931339506
MT_041,0.09040593011203872,10.202701691819094,7.890875108716219,0.11689257824974507
MT_042,0.1061396223201807,6.342871532658941,4.757032256396023,0.1415231078151006
MT_043,0.09464095190427835,144.77988751502164,107.6345623689416,0.12730210509937273
MT_044,0.10044851850052947,4.263342912073907,3.114445812083332,0.1375032687086927
MT_045,0.18257015976769778,24.801086255636154,17.586822092537155,0.2574619937746084
MT_046,0.11905579787328348,20.898749215713078,15.598328210731536,0.15951179054679535
MT_047,0.12105591016695055,4.4816291473474275,3.389419896962898,0.16006505890551104
MT_048,0.15270372282232764,2.9487802875410125,2.3199520508000697,0.19409441136394057
MT_049,0.08275559217331564,102.42649353349981,77.0802513606818,0.10996805247737952
MT_050,0.10055591133951237,22.52654578068036,16.65788684200777,0.135982274450037
MT_051,0.12451139589039226,9.034277107963606,6.9720315115552145,0.1613404144414496
MT_052,0.1067255157030262,4.610022010018982,3.581648725910581,0.1373688527471358
MT_053,0.10826358125366513,9.729247900826046,7.147183962162178,0.1473759771994841
MT_054,0.06921654295893838,6.580632044247472,4.9671418043690005,0.09170034167073363
MT_055,0.1454746455822656,4.064462505097156,2.796018753338872,0.21147077132631617
MT_056,0.07817543740726626,3.937305321436742,2.9131617970722203,0.10565858924094759
MT_057,0.17455489388935666,6.2116074035023505,4.709836079276211,0.23021320762554456
MT_058,0.11023352660405529,12.442117609699864,9.188092781562947,0.1492734711268695
MT_059,0.13505059566568728,20.8394048799807,16.104143039707726,0.17476086963587367
MT_060,0.09703704656449837,3.4130301881828773,2.5803528305746464,0.12835080744480365
MT_061,0.11378827692066792,11.110993207690694,8.368735276001182,0.1510742938190402
MT_062,0.08517431003975545,6.950801845571061,5.285153575687927,0.11201751149539949
MT_063,0.11306887976374456,3.3182861188186847,2.4400264975590726,0.15376672940467898
MT_064,0.10249876762238772,205.7689224314007,152.29414273747048,0.13848898312893565
MT_065,0.10525587909720104,9.381708670282537,7.060861568952954,0.13985262051679814
MT_066,0.2466445579894882,11.546511062952883,7.912318873564889,0.3599304025723166
MT_067,0.11647759728851317,30.412709156113575,22.936991014366715,0.15444045329745615
MT_068,0.12315307182269995,21.782571428703754,16.525057790534717,0.16233471723038634
MT_069,0.09046190439214903,20.0219618135363,14.924606424177407,0.12135829541107704
MT_070,0.09066807429022158,5.016061402606582,3.7233883731480604,0.12214590107647677
MT_071,0.07657963811371747,4.922887637220765,3.565561480980567,0.10573172156582274
MT_072,0.08584648723505325,10.743983661092505,8.117556322662415,0.11362203347338026
MT_073,0.1311652013715166,9.199105162856382,6.321803320390804,0.1908636539248148
MT_074,0.08090585638206098,9.796619695915163,7.259273377619895,0.1091850196179351
MT_075,0.08334494768635362,5.662525296775112,4.178453646803335,0.11294677757007757
MT_076,0.09391266397640541,7.827099982449048,5.893416997967864,0.1247262514793925
MT_077,0.15563466855774818,8.066523582377528,5.774100561058682,0.2174244647942887
MT_078,0.0815091138729342,4.071063696665062,3.0912104914949894,0.10734590716110053
MT_079,0.1618744621845988,8.217439250579313,5.76495794936612,0.23073777309484086
MT_080,0.14653929474561844,2.9541665013616574,2.1947331914221646,0.19724560477902675
MT_081,0.09115875253777672,12.055387787693205,8.945573722859823,0.12284892463374997
