Model,Mean WMAPE (%),Median WMAPE (%),25th Pct WMAPE (%),75th Pct WMAPE (%),Mean NRMSE (%),Median NRMSE (%),Mean MAE (kW),Mean RMSE (kW)
Benchmark: Seasonal Naive 24h,12.62298688336369,9.45796622225544,7.31662515854668,13.8765516832189,20.950622405320235,14.092794224701672,56.57641991364456,89.58984369105264
Autoregressive Ridge (Per-Meter),11.029219352728902,8.232042965960783,6.677915660297811,11.80482896581643,16.308991321739917,12.038828342549127,55.03056451387978,81.29133060051248
Global Normalized LightGBM,10.116251797201782,7.892381000026015,6.265166201384485,11.171374995274542,15.8298704191201,11.454493719974822,53.52205200126064,82.76299785642001
