Archetype,Nominal Target (%),Empirical PICP (%),Coverage Gap (%),MPIW (kW),Normalized MPIW (%),Winkler Score,Meter
Commercial Office,90.0,90.49657534246576,0.4965753424657606,29.011125211905856,33.92351086298816,42.25335670745644,MT_333
Residential Consumer,90.0,89.46061643835617,-0.5393835616438309,206.7400041326975,22.653187328071613,328.25110605254577,MT_222
Industrial Plant,90.0,87.17180365296804,-2.8281963470319624,36.546732268459984,37.242491383323525,51.90845477973214,MT_081
Intermittent Load,90.0,81.34703196347031,-8.652968036529685,63.001350972814045,184.76443533778973,151.60273650120035,MT_093
