,,WMAPE (%),RMSE,MAE,NRMSE (%)
Day-Ahead (24h),Benchmark: Seasonal Naive 24h,3.817221251701615,13931.130512201496,8571.557755199416,6.204030698987827
Day-Ahead (24h),Ridge Regression,3.5512156653891256,12526.704552292109,7974.243086769655,5.5785895862151085
Day-Ahead (24h),LightGBM Regressor,3.2580959016059436,11353.956637555113,7316.043622083674,5.0563229935053595
Week-Ahead (7d),Benchmark: Seasonal Naive 7-Day,5.772169087545471,21211.457259315815,12961.386685306079,9.446220598666095
Week-Ahead (7d),Ridge Regression,5.897480531311652,19462.570505043295,13242.77311978389,8.667378773657216
Week-Ahead (7d),LightGBM Regressor,5.673348777862423,20104.780656107516,12739.486005208651,8.95337792418663
