,Mean WMAPE (%),Median WMAPE (%),25th Pct WMAPE (%),75th Pct WMAPE (%),Mean NRMSE (%),Median NRMSE (%),Mean MAE (kW),Mean RMSE (kW)
Seasonal Naive 24h (Day-Ahead),12.622986883363696,9.457966222255445,7.316625158546682,13.876551683218901,20.95062240532024,14.092794224701674,56.57641991364456,89.58984369105264
Seasonal Naive 7-Day (Week-Ahead),12.6366825883656,10.309882083649375,8.347627934175673,13.84005884586812,20.439266938984776,14.981434847070874,66.1838125572294,105.74146956276459
