meter,WMAPE,RMSE,MAE,NRMSE
MT_001,0.42375499807165895,3.781890773230443,1.7923266202287331,0.8941423394765913
MT_002,0.05973197918699063,2.724716011799412,1.59369372960809,0.10212293434026724
MT_003,0.05763154694734477,0.22574584722011956,0.0999802277848614,0.13012655282432126
MT_004,0.09299390834086194,15.03892704297114,11.254597083044828,0.12426287610827637
MT_005,0.1252540452706617,8.673017028213884,6.514358599500454,0.16675939018285324
MT_006,0.09204294978776287,23.19750453873306,17.157507744708493,0.12444504045865928
MT_007,0.29557207822282305,3.646497445618714,1.7332799820244056,0.6218284636143468
MT_008,0.0789097455008681,26.674985012738126,19.81879728613013,0.10620807348727103
MT_009,0.14893380858454328,10.6118899207186,7.570215646060514,0.2087746579577311
MT_010,0.20010790444630347,17.091522740961782,10.961709495768064,0.312008706380205
MT_011,0.10087745318980064,5.353770432833119,3.993705133330144,0.1352314976185338
MT_012,0.09637874684596764,19.764080565073403,14.131997247240607,0.13478896748274236
MT_013,0.1380590253960318,18.195105721740248,11.34220270402618,0.22147360865182983
MT_014,0.0997739325156128,6.85867529816313,4.555015110363843,0.15023375109962414
MT_015,0.088903592272137,5.961288953971294,4.239303130734178,0.12501583072415823
MT_016,0.10633412738042099,5.06363410170183,3.4995110889512935,0.1538606679310625
MT_017,0.07618906850846319,5.032025269841718,3.712852304157862,0.10325897359045284
MT_018,0.11379421935177164,37.49654440394023,27.94156322842966,0.15270763356911946
MT_019,0.1289254428189583,1.3954852427002034,1.0432990250053589,0.1724467756130809
MT_020,0.13670750722751343,7.733664587268254,6.020483725916547,0.1756088141070734
MT_021,0.08993368443825522,22.655338918549926,14.271642989462789,0.14276408838470292
MT_022,0.15155523449278538,6.824908957675412,4.365770764207998,0.23692281004590307
MT_023,0.1479454302444231,2.076801237642901,1.5711381477979343,0.1955609397339549
MT_024,0.12016107336872912,5.173272437981589,3.8140411937502816,0.16298354878686971
MT_025,0.1157798908300746,33.058009555000105,24.30076756494663,0.15750336803593395
MT_026,0.12896562273080495,3.717872315139582,2.661643921549229,0.18014344987082725
MT_027,0.11519846346188449,3.385047408134713,2.506948016614869,0.1555486023556667
MT_028,0.09560831733778948,9.002686718140492,6.583350496428039,0.13074371919096361
