Meter,Seasonal Naive WMAPE (%),LightGBM v1 (Static) WMAPE (%),LightGBM v2 (Dynamic) WMAPE (%),v2 Improvement vs v1 (%)
MT_332,34.85971523012935,48.07602201337094,17.318311652749465,30.757710360621477
MT_348,1.4612908276846401,10.42327629288889,10.80474518368964,-0.3814688908007499
MT_093,75.74997063481125,81.42035334069064,88.31362422941868,-6.893270888728031
MT_066,13.40267921833022,22.230657647037948,12.942689397393181,9.287968249644768
MT_130,27.26700469226044,36.903263724822175,34.19067367867207,2.712590046150104
